observation_date,source,series_id,maturity,rate_bps
2019-07-15,UST,DGS5,5Y,184
2019-07-16,NYFED,EFFR,ON,241
2019-07-16,NYFED,SOFR,ON,247
2019-07-16,UST,DGS2,2Y,187
2019-07-16,UST,DGS5,5Y,188
2019-07-17,NYFED,EFFR,ON,241
2019-07-17,NYFED,SOFR,ON,247
2019-07-17,UST,DGS2,2Y,183
2019-07-17,UST,DGS5,5Y,183
2019-07-18,NYFED,EFFR,ON,241
2019-07-18,NYFED,SOFR,ON,246
2019-07-18,UST,DGS2,2Y,177
2019-07-18,UST,DGS5,5Y,178
2019-07-19,NYFED,EFFR,ON,241
2019-07-19,NYFED,SOFR,ON,241
2019-07-19,UST,DGS2,2Y,180
2019-07-19,UST,DGS5,5Y,180
2019-07-22,NYFED,EFFR,ON,240
2019-07-22,NYFED,SOFR,ON,240
2019-07-22,UST,DGS2,2Y,180
2019-07-22,UST,DGS5,5Y,180
2019-07-23,NYFED,EFFR,ON,240
2019-07-23,NYFED,SOFR,ON,240
2019-07-23,UST,DGS2,2Y,183
2019-07-23,UST,DGS5,5Y,183
2019-07-24,NYFED,EFFR,ON,240
2019-07-24,NYFED,SOFR,ON,241
2019-07-24,UST,DGS2,2Y,183
2019-07-24,UST,DGS5,5Y,182
2019-07-25,NYFED,EFFR,ON,240
2019-07-25,NYFED,SOFR,ON,242
2019-07-25,UST,DGS2,2Y,186
2019-07-25,UST,DGS5,5Y,185
2019-07-26,NYFED,EFFR,ON,240
2019-07-26,NYFED,SOFR,ON,241
2019-07-26,UST,DGS2,2Y,186
2019-07-26,UST,DGS5,5Y,185
2019-07-29,NYFED,EFFR,ON,240
2019-07-29,NYFED,SOFR,ON,240
2019-07-29,UST,DGS2,2Y,185
2019-07-29,UST,DGS5,5Y,184
2019-07-30,NYFED,EFFR,ON,239
2019-07-30,NYFED,SOFR,ON,239
2019-07-30,UST,DGS2,2Y,185
2019-07-30,UST,DGS5,5Y,184
2019-07-31,NYFED,EFFR,ON,240
2019-07-31,NYFED,SOFR,ON,255
2019-07-31,UST,DGS2,2Y,189
2019-07-31,UST,DGS5,5Y,184
2019-08-01,NYFED,EFFR,ON,214
2019-08-01,NYFED,SOFR,ON,219
2019-08-01,UST,DGS2,2Y,173
2019-08-01,UST,DGS5,5Y,168
2019-08-02,NYFED,EFFR,ON,214
2019-08-02,NYFED,SOFR,ON,219
2019-08-02,UST,DGS2,2Y,172
2019-08-02,UST,DGS5,5Y,166
2019-08-05,NYFED,EFFR,ON,213
2019-08-05,NYFED,SOFR,ON,213
2019-08-05,UST,DGS2,2Y,159
2019-08-05,UST,DGS5,5Y,155
2019-08-06,NYFED,EFFR,ON,213
2019-08-06,NYFED,SOFR,ON,211
2019-08-06,UST,DGS2,2Y,160
2019-08-06,UST,DGS5,5Y,153
2019-08-07,NYFED,EFFR,ON,212
2019-08-07,NYFED,SOFR,ON,210
2019-08-07,UST,DGS2,2Y,159
2019-08-07,UST,DGS5,5Y,152
2019-08-08,NYFED,EFFR,ON,212
2019-08-08,NYFED,SOFR,ON,209
2019-08-08,UST,DGS2,2Y,162
2019-08-08,UST,DGS5,5Y,154
2019-08-09,NYFED,EFFR,ON,212
2019-08-09,NYFED,SOFR,ON,211
2019-08-09,UST,DGS2,2Y,163
2019-08-09,UST,DGS5,5Y,157
2019-08-12,NYFED,EFFR,ON,212
2019-08-12,NYFED,SOFR,ON,212
2019-08-12,UST,DGS2,2Y,158
2019-08-12,UST,DGS5,5Y,149
2019-08-13,NYFED,EFFR,ON,212
2019-08-13,NYFED,SOFR,ON,216
2019-08-13,UST,DGS2,2Y,166
2019-08-13,UST,DGS5,5Y,157
2019-08-14,NYFED,EFFR,ON,212
2019-08-14,NYFED,SOFR,ON,213
2019-08-14,UST,DGS2,2Y,158
2019-08-14,UST,DGS5,5Y,151
2019-08-15,NYFED,EFFR,ON,213
2019-08-15,NYFED,SOFR,ON,218
2019-08-15,UST,DGS2,2Y,148
2019-08-15,UST,DGS5,5Y,142
2019-08-16,NYFED,EFFR,ON,213
2019-08-16,NYFED,SOFR,ON,213
2019-08-16,UST,DGS2,2Y,148
2019-08-16,UST,DGS5,5Y,142
2019-08-19,NYFED,EFFR,ON,213
2019-08-19,NYFED,SOFR,ON,211
2019-08-19,UST,DGS2,2Y,153
2019-08-19,UST,DGS5,5Y,147
2019-08-20,NYFED,EFFR,ON,213
2019-08-20,NYFED,SOFR,ON,213
2019-08-20,UST,DGS2,2Y,150
2019-08-20,UST,DGS5,5Y,142
2019-08-21,NYFED,EFFR,ON,212
2019-08-21,NYFED,SOFR,ON,210
2019-08-21,UST,DGS2,2Y,156
2019-08-21,UST,DGS5,5Y,147
